Year,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,Status,Citation,StatusAltValue,EnactedDate,EffectiveDate
2009,NY,New York,Nutrition,School Nutrition,School/After School,Availability of Healthy Food on School Property,Dead,S1446,3,,
2010,VA,Virginia,Physical Activity,Built Environment and Street-Scale Design,Community,Pedestrians and Drivers,Dead,H459,3,,
2009,WA,Washington,Physical Activity,Incentives,School/After School,Alternative Student Transportation,Dead,S5743,3,,
2009,NY,New York,Nutrition,Appropriations,Medical and/or Hospital,Prenatal Care Programs and Services,Enacted,A8397,1,1/1/2009 0:00,
2011,OK,Oklahoma,Obesity,Appropriations,Community,Driver License Examination,Enacted,S443,1,1/1/2011 0:00,
2010,WA,Washington,Obesity,Appropriations,Community,Cost of Ferry System,Enacted,H3209,1,1/1/2010 0:00,
2009,IL,Illinois,Obesity,Appropriations,Community,Illinois Income Tax Act,Dead,H414,3,,
2001,CA,California,Nutrition,School Nutrition,School/After School,Pupil Health,Enacted,SB19,1,1/1/2001 0:00,
2011,MA,Massachusetts,Obesity,Body Mass Index (BMI),Community,Livable Communities,Dead,S1846,3,,
2010,TN,Tennessee,Obesity,Menu Labeling,Community,Industrial Development,Dead,H3417,3,,
2002,LA,Louisiana,Nutrition,Fruits and Vegetables,Community,An Act Making Appropriations <br>,Enacted,H1,1,1/1/2002 0:00,
2011,MA,Massachusetts,Physical Activity,Pedestrians/Walking,Community,Vehicle Speed and Pedestrian Safety Analysis,Dead,H2639,3,,
2011,VA,Virginia,Physical Activity,Task Forces/Councils,Community,US Route 1 Corridor Study,Dead,HJR603,3,,
2009,IN,Indiana,Physical Activity,Public Transportation,Community,West Lake Commuter Rail Project,Dead,H1607,3,,
2001,CT,Connecticut,Nutrition,Appropriations,Community,Landowner Immunity,Enacted,HB6983,1,1/1/2001 0:00,
2004,NY,New York,Nutrition,Disparities/Equity,Community,An Act Making  Appropriations for the Support of  Government<br>,Enacted,S904,1,1/1/2004 0:00,
2010,DC,District of Columbia,Obesity,Menu Labeling,Community,Budget Support Congressional Review,Enacted,B583,1,1/1/2010 0:00,
2009,NY,New York,Nutrition,Disparities/Equity,Community,New York State Farm Grown Products,Dead,S6203,3,,
2010,VT,Vermont,Nutrition,Farm Direct Foods,Community,Amendment to the Charter of the City of Burlington,Enacted,H95,1,1/1/2010 0:00,
2011,IA,Iowa,Physical Activity,Signage for Recreation and Transportation,Community,Walking and Horseback Riding on Public Land,Dead,H22,3,,
2009,MA,Massachusetts,Nutrition,Appropriations,Community,Farmers' Markets,Dead,HD4106,3,,
2011,HI,Hawaii,Nutrition,Food Security,Community,Agriculture,Dead,S1145,3,,
2010,MO,Missouri,Nutrition,Agriculture and Farming,Restaurant/Retail,Local Foods Initiative,Dead,S926,3,,
2010,MD,Maryland,Obesity,Menu Labeling,Restaurant/Retail,Public Health,Dead,S356,3,,
2011,TX,Texas,Obesity,Appropriations,School/After School,Conference Committee Jurisdiction,Enacted,HR2723,1,1/1/2011 0:00,
2011,FL,Florida,Nutrition,Incentives,Medical and/or Hospital,State Employees Health Insurance Benefits,Dead,S7096,3,,
2010,OK,Oklahoma,Nutrition,Disparities/Equity,Community,"My Life, My Choice",Enacted,R16348,1,1/1/2010 0:00,
2011,TX,Texas,Nutrition,Appropriations,Restaurant/Retail,Healthy Food Advisory Committee,Dead,H2414,3,,
2011,TX,Texas,Obesity,Sugar Sweetened Beverages,Community,Sweetened Beverages Tax,Dead,H2214,3,,
2010,MD,Maryland,Nutrition,Medical Care,Community,Transportation Projects,Enacted,H282,1,1/1/2010 0:00,
2010,CA,California,Physical Activity,Public Safety,Community,Local Government Omnibus Act of 2010,Dead,S894,3,,
2011,NY,New York,Obesity,Portion Size,School/After School,Sale of Certain Foods in Vending Machines,Dead,S4552,3,,
2001,CA,California,Nutrition,School Nutrition,School/After School,Pupil Health and Nutrition,Enacted,SB56,1,1/1/2001 0:00,
2009,NY,New York,Obesity,Appropriations,Community,Appropriations for Support of Government,Dead,S16v,3,,
2009,NY,New York,Nutrition,Media Campaigns,Restaurant/Retail,Senior Benefits Card Program,Dead,A1711,3,,
2003,OK,Oklahoma,Physical Activity,Physical Activity Requirements,School/After School,Schools,Enacted,SB1627,1,1/1/2003 0:00,
2012,NC,North Carolina,Nutrition,Fruits and Vegetables,School/After School,An Act to Encourage Use of the Farm to School Program<br>,Dead,H1099,3,1/1/2012 0:00,
2010,PA,Pennsylvania,Nutrition,Fruits and Vegetables,Restaurant/Retail,Agricultural Surplus System,Enacted,H2139,1,1/1/2010 0:00,
2010,MN,Minnesota,Physical Activity,Pedestrians/Walking,Community,Transportation,Enacted,S2540,1,1/1/2010 0:00,
2010,MN,Minnesota,Obesity,Disparities/Equity,School/After School,Education,Dead,S2753,3,,
2011,HI,Hawaii,Obesity,Appropriations,School/After School,School Gardens,Dead,SCR66,3,,
2013,IL,Illinois,Nutrition,Food Assistance Programs,Community,An Act Concerning State Government,Introduced,HB29,0,,
2011,MS,Mississippi,Obesity,Disparities/Equity,Community,Task Force on Combating Childhood Obesity,Dead,H1092,3,,
2007,CT,Connecticut,Nutrition,Incentives,Restaurant/Retail,An act concerning seizure and custody of neglected or cruelly treated animals<br>,Enacted,H7392,1,1/1/2007 0:00,
2010,WI,Wisconsin,Nutrition,Access to Healthy Foods,Community,Food Processing Plants,Enacted,R21476,1,1/1/2010 0:00,
2009,IL,Illinois,Nutrition,Appropriations,School/After School,University Nutrition,Dead,HR582,3,,
2009,CO,Colorado,Obesity,Appropriations,School/After School,Reauthorize Child Nutrition Act,Enacted,SJM2,1,1/1/2009 0:00,
2009,AL,Alabama,Nutrition,Liability and Indemnity,Community,Public Education,Dead,H418,3,,
2011,HI,Hawaii,Nutrition,Incentives,Work Place,Tax Credits,Dead,S800,3,,
2011,KY,Kentucky,Physical Activity,School Siting,Community,Budget Bill Amendments,Dead,S3a,3,,
2011,CT,Connecticut,Nutrition,Vending,School/After School,Sale of Candy in Public School Vending Machines,Dead,S165,3,,
2013,TX,Texas,Nutrition,Disparities/Equity,Community,An Act Relating to Incentives for Using Supplemental Nutrition Assistance Program Benefits to Purchase Nutritious Foods,Introduced,HB3434,0,,
2011,NY,New York,Physical Activity,Physical Activity Requirements,School/After School,New York State Governors Council on Physical Fitness,Dead,S2856,3,,
2009,MO,Missouri,Obesity,Appropriations,School/After School,Physical Activity Requirements,Dead,H1008,3,,
2011,NM,New Mexico,Nutrition,Appropriations,Medical and/or Hospital,Durable Medical Equipment and Medical Supplies,Enacted,R5685,1,1/1/2011 0:00,
2011,HI,Hawaii,Nutrition,Incentives,Restaurant/Retail,Senior Citizens,Dead,H180,3,,
2010,FL,Florida,Physical Activity,Public Transportation,Community,Growth Management,Dead,S1742,3,,
2009,MA,Massachusetts,Obesity,Liability and Indemnity,School/After School,Healthy Child Scholarship,Dead,S602,3,,
2009,NY,New York,Nutrition,Agriculture and Farming,Restaurant/Retail,State Farm Grown Products,Dead,A6408,3,,
2013,NY,New York,Physical Activity,Physical Education Requirements,Early Care and Education,Omnibus Obesity and Respiratory Illness Reduction Act,Introduced,AB5322,0,,
2009,NC,North Carolina,Physical Activity,Public Safety,Community,Community Development Funding,Dead,S585,3,,
2011,LA,Louisiana,Obesity,Body Mass Index (BMI),Community,Economic Development Zone,Enacted,H456,1,1/1/2011 0:00,
2011,WV,West Virginia,Obesity,Disparities/Equity,Community,State Excess Lottery Revenue Fund,Dead,H3264,3,,
2010,DC,District of Columbia,Obesity,Menu Labeling,Restaurant/Retail,Fiscal Year 2010 Budget Support Act,Enacted,B18203,1,1/1/2010 0:00,
2010,CA,California,Nutrition,Farm Direct Foods,Community,Public Health: Food Access,Vetoed,A2720,2,,
2001,NC,North Carolina,Obesity,Appropriations,Community,Child Bicycle Safety Act,Enacted,H63,1,1/1/2001 0:00,
2009,WI,Wisconsin,Nutrition,Medical Care,Community,Bicycle and Pedestrian Accommodations,Enacted,R21438,1,1/1/2009 0:00,
2011,IL,Illinois,Nutrition,Access to Healthy Foods,Restaurant/Retail,Trans Fat Restriction Act,Dead,H1600,3,,
2005,IL,Illinois,Obesity,Health Insurance Coverage,Community,Physical Fitness Services Act Technical Change,Enacted,S2072,1,1/1/2005 0:00,
2010,NY,New York,Nutrition,Appropriations,Community,Reduction of Farm Based Taxes,Dead,A10103,3,,
2007,NM,New Mexico,Nutrition,Food Assistance Programs,School/After School,Expanding Summer Food Service Programs,Enacted,SM7,1,1/1/2007 0:00,
2009,OK,Oklahoma,Nutrition,Medical Care,School/After School,"Roads, Bridges And Ferries",Dead,S425,3,,
2012,NJ,New Jersey,Nutrition,Fruits and Vegetables,Community,Produce Served in Schools<br>,Dead,A3019,3,1/1/2012 0:00,
2010,MA,Massachusetts,Physical Activity,Physical Education Requirements,School/After School,School Nutrition,Dead,H4919,3,,
2010,WA,Washington,Physical Activity,Appropriations,Community,Community Preservation and Development Authorities,Enacted,H2125,1,1/1/2010 0:00,
2013,TX,Texas,Nutrition,Access to Healthy Foods,Community,An Act Relating to the Operation and Administration of the Supplemental Nutrition Assistance Program,Introduced,HB948,0,,
2013,HI,Hawaii,Physical Activity,Appropriations,Early Care and Education,Relating to Early Learning Wellness Guidelines,Introduced,SB1144,0,,
2011,NV,Nevada,Physical Activity,Safe Routes to Schools,School/After School,Reckless Driving,Enacted,A328,1,1/1/2011 0:00,
2011,DC,District of Columbia,Nutrition,Healthier Food Retail and Food Deserts,Restaurant/Retail,Grocery Store Terms and Conditions,Dead,B22,3,,
2012,KY,Kentucky,Physical Activity,"Parks, Recreation and Trails",Community,Promoting Enhanced Opportunities for Outdoor Activity for Kentucky’s Children<br>,Enacted,HCR29,1,1/1/2012 0:00,
2010,NH,New Hampshire,Nutrition,Appropriations,Work Place,HealthFirst,Enacted,H1488,1,1/1/2010 0:00,
2015,NY,New York,Obesity,Task Forces/Councils,Restaurant/Retail,Trans fat reduction; Menu Labeling; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,SB1668,0,,
2005,PA,Pennsylvania,Obesity,Appropriations,Community,General Appropriation Act,Enacted,H2499,1,1/1/2005 0:00,
2009,MA,Massachusetts,Obesity,Disparities/Equity,Community,Out of School Time Programming,Dead,S276,3,,
2009,OK,Oklahoma,Nutrition,Appropriations,Community,Revenue And Taxation,Dead,H1794,3,,
2010,DC,District of Columbia,Obesity,Appropriations,Restaurant/Retail,Fiscal Year 2010 Budget Support Act,Enacted,B18203,1,1/1/2010 0:00,
2011,MS,Mississippi,Nutrition,Appropriations,Restaurant/Retail,Fruits and Vegetables Sales Tax,Dead,H140,3,,
2009,WA,Washington,Obesity,Appropriations,Community,Housing Everyone Financing Tool Program,Dead,S5856,3,,
2005,GA,Georgia,Physical Activity,Appropriations,Community,Hotel Motel and Trade Show Tax,Enacted,H374,1,1/1/2005 0:00,
2007,IL,Illinois,Nutrition,Farm Direct Foods,Community,Organic Food System,Enacted,H1300,1,1/1/2007 0:00,
2012,NJ,New Jersey,Nutrition,Breastfeeding,Work Place,An Act Concerning Pregnancy and Breast-feeding in the Workplace<br>,Dead,S886,3,1/1/2012 0:00,
2009,NM,New Mexico,Nutrition,Agriculture and Farming,Community,Appropriate Food,Dead,S339,3,,
2010,AK,Alaska,Obesity,Health Insurance Coverage,Medical and/or Hospital,Insurance,Enacted,H175,1,1/1/2010 0:00,
2010,DC,District of Columbia,Physical Activity,Appropriations,Community,Fiscal Year 2011 Balanced Budget Support Temporary Act,Dead,B1099,3,,
2012,NM,New Mexico,Nutrition,Farm Direct Foods,School/After School,Making an Appropriation to Provide New Mexico-grown Fresh Fruits and Vegetables for School Lunches<br>,Enacted,S86,1,1/1/2012 0:00,
2011,NH,New Hampshire,Obesity,Appropriations,Community,Definition of Local,Dead,LSR2226,3,,
2011,TX,Texas,Obesity,Appropriations,Community,Rowlett Downtown Management District Creation,Enacted,S234,1,1/1/2011 0:00,
2011,CT,Connecticut,Nutrition,Task Forces/Councils,Community,An Act Concerning the Governor's Council for Agricultural Development<br>,Enacted,H5508,1,1/1/2011 0:00,
2003,MT,Montana,Obesity,Appropriations,School/After School,School Nutrition,Enacted,SJR2,1,1/1/2003 0:00,
2011,CA,California,Physical Activity,School Siting,School/After School,Public Postsecondary Education: Joint-Use Facilities,Dead,A405,3,,
2011,HI,Hawaii,Nutrition,Point of Purchase Promotion,Community,Traffic Safety,Dead,HCR189,3,,
2011,MO,Missouri,Nutrition,Vending,School/After School,Farm to Table Advisory Board,Dead,S162,3,,
2010,MO,Missouri,Physical Activity,Public Safety,Community,Public Safety Activities Taxes,Enacted,S981,1,1/1/2010 0:00,
2011,CA,California,Physical Activity,Public Transportation,Restaurant/Retail,State Planning,Dead,A441,3,,
2012,CA,California,Nutrition,School Nutrition,School/After School,An Act to Make Appropriations<br>,Dead,S957,3,1/1/2012 0:00,
2009,CA,California,Physical Activity,Appropriations,Community,2009-10 Budget,Dead,A1c,3,,
2009,MI,Michigan,Nutrition,Agriculture and Farming,Community,Community Health,Dead,S299,3,,
2011,NV,Nevada,Nutrition,Liability and Indemnity,Community,Redevelopment Agencies,Enacted,S92,1,1/1/2011 0:00,
2011,HI,Hawaii,Nutrition,Farm Direct Foods,Restaurant/Retail,Charter School Agricultural Business,Dead,SCR34,3,,
2011,FL,Florida,Physical Activity,School Siting,School/After School,Growth Management,Enacted,H7207,1,1/1/2011 0:00,
2010,HI,Hawaii,Obesity,Body Mass Index (BMI),Community,Street Repairs,Dead,HCR317,3,,
2004,TN,Tennessee,Obesity,Incentives,Restaurant/Retail,Provides Immunity from Liability for Obesity,Enacted,HB3041,1,1/1/2004 0:00,
2011,NY,New York,Obesity,Food Restrictions,Community,State Fiscal Year 2011-2012 Funding,Enacted,S2810,1,1/1/2011 0:00,
2010,MN,Minnesota,Nutrition,Farm Direct Foods,Community,State Government,Enacted,H2624,1,1/1/2010 0:00,
2009,MI,Michigan,Obesity,Appropriations,Community,Community Health,Dead,S299,3,,
2011,MA,Massachusetts,Obesity,Menu Labeling,Community,Financing the Smart Growth Housing Trust Fund,Dead,HD1017,3,,
2010,NJ,New Jersey,Nutrition,Appropriations,Restaurant/Retail,Milk Coupons,Dead,A2431,3,,
2010,DC,District of Columbia,Obesity,Appropriations,Community,H Street Disposition Approval Resolution,Dead,R1197,3,,
2011,GA,Georgia,Physical Activity,Disabilities,Community,Supplemental Appropriations,Enacted,H77,1,1/1/2011 0:00,
2003,CA,California,Nutrition,Access to Healthy Foods,School/After School,Assembly Concurrent Resolution<br>,Enacted,ACR16,1,1/1/2003 0:00,
2009,WA,Washington,Nutrition,Trans Fats,Community,Project Improvements Including Public Transportation,Dead,S5548,3,,
2009,MN,Minnesota,Obesity,Food Restrictions,Community,Agriculture,Dead,S1507,3,,
2010,NC,North Carolina,Nutrition,Medical Care,Community,Base Budget Appropriations,Enacted,S202,1,1/1/2010 0:00,
2011,IL,Illinois,Obesity,Appropriations,Community,Department of Human Services,Dead,H2162,3,,
2009,HI,Hawaii,Nutrition,Medical Care,Community,Tax Credit for Land Conservation or Preservation,Dead,S4,3,,
2002,DC,District of Columbia,Nutrition,Agriculture and Farming,Community,An Act Making Appropriations   <br>,Enacted,PR719,1,1/1/2002 0:00,
2010,NY,New York,Physical Activity,Appropriations,Community,Downstate Revitalization Fund Program,Enacted,R21940,1,1/1/2010 0:00,
2010,VT,Vermont,Nutrition,Task Forces/Councils,Community,Nutrition Assistance Program,Enacted,H408,1,1/1/2010 0:00,
2005,SC,South Carolina,Obesity,Appropriations,School/After School,Physical Education And Nutritional Standards,Enacted,H3499,1,1/1/2005 0:00,
2009,NY,New York,Nutrition,Appropriations,Work Place,Occupational Wellness Task Force,Dead,A3699,3,,
2010,FL,Florida,Nutrition,Agriculture and Farming,Restaurant/Retail,Department of Agriculture and Consumer Services,Dead,S2348,3,,
2009,RI,Rhode Island,Nutrition,Farm Direct Foods,Community,Special Supplemental Nutrition Program,Enacted,R3821,1,1/1/2009 0:00,
2010,MA,Massachusetts,Obesity,Task Forces/Councils,School/After School,School Nutrition,Dead,S2322,3,,
2009,MS,Mississippi,Obesity,Menu Labeling,Community,Major Economic Impact Act,Enacted,S2605,1,1/1/2009 0:00,
2009,CT,Connecticut,Nutrition,Appropriations,Community,Box and Vending Machine Sales Tax Exemption,Dead,H6424,3,,
2010,HI,Hawaii,Obesity,Menu Labeling,Community,Housing Finance and Development Corporation,Enacted,SCR93,1,1/1/2010 0:00,
2007,MA,Massachusetts,Nutrition,Medical Care,Community,Transportation System Financing Improvement,Enacted,H4637,1,1/1/2007 0:00,
2003,CA,California,Nutrition,School Nutrition,School/After School,Assembly Concurrent Resolution<br>,Enacted,ACR16,1,1/1/2003 0:00,
2011,AZ,Arizona,Nutrition,Access to Healthy Foods,Community,Tax on Sweetened Beverages,Dead,H2643,3,,
2009,VT,Vermont,Nutrition,Appropriations,Community,Farmers Markets,Enacted,H192,1,1/1/2009 0:00,
2011,IN,Indiana,Nutrition,Food Assistance Programs,Medical and/or Hospital,Basic Health Insurance Coverage,Dead,H1062,3,,
2009,MO,Missouri,Obesity,Appropriations,Community,City of Grandview,Dead,S164,3,,
2011,HI,Hawaii,Obesity,Appropriations,School/After School,School Meals,Dead,HR194,3,,
2005,IA,Iowa,Nutrition,Farmers Markets,Community,State Government,Enacted,H2540,1,1/1/2005 0:00,
2010,MS,Mississippi,Obesity,Appropriations,Community,Capital Improvements Revolving Loan Program,Enacted,R12426,1,1/1/2010 0:00,
2011,PA,Pennsylvania,Nutrition,Food Assistance Programs,Medical and/or Hospital,Healthy Living Committee Discount,Dead,S261,3,,
2012,KY,Kentucky,Nutrition,Initiatives and Programs,Work Place,State Employee Health Insurance<br>,Dead,H225,3,1/1/2012 0:00,
2009,MD,Maryland,Obesity,Appropriations,Community,Smart Growth,Dead,S878,3,,
2010,NY,New York,Nutrition,Appropriations,School/After School,New York State Healthy Kids Act,Dead,S7028,3,,
2002,NY,New York,Nutrition,Farmers Markets,Community,An act Making Appropriations for the Support of Government<br>,Enacted,A9755,1,1/1/2002 0:00,
2012,IL,Illinois,Nutrition,Farm Direct Foods,Community,An Act Concerning Appropriations,Dead,H5958,3,1/1/2012 0:00,
2009,MI,Michigan,Obesity,Food Restrictions,Community,Community Health Appropriations,Dead,H4436,3,,
2010,MI,Michigan,Nutrition,Agriculture and Farming,Community,Community Health,Dead,H5877,3,,
2011,MN,Minnesota,Nutrition,Liability and Indemnity,Community,Capital Investment,Dead,H1055,3,,
2007,RI,Rhode Island,Obesity,Appropriations,School/After School,Student Investment Initiative,Enacted,H7009,1,1/1/2007 0:00,
2009,MN,Minnesota,Nutrition,Correctional Facilities Farms Programs,Community,Cultural Heritage,Dead,H2260,3,,
2009,MA,Massachusetts,Nutrition,Fruits and Vegetables,Community,Student Nutrition and Wellness,Dead,H446,3,,
2010,GA,Georgia,Obesity,Body Mass Index (BMI),Community,Commissions and Other Agencies,Dead,H935,3,,
2010,MA,Massachusetts,Obesity,Appropriations,School/After School,School Nutrition,Dead,H4438,3,,
2009,WA,Washington,Obesity,Appropriations,Community,Vehicles Overtake And Pass Pedestrians Or Bicycle,Dead,H1491,3,,
2009,TX,Texas,Physical Activity,Incentives,School/After School,Specialty License Plates,Enacted,S161,1,1/1/2009 0:00,
2011,CA,California,Nutrition,Disparities/Equity,Restaurant/Retail,Retail Food Facilities: Toys and Incentives,Dead,A1100,3,,
2011,NY,New York,Obesity,Appropriations,Medical and/or Hospital,Advisory Committee on Public Wellness,Dead,S1923,3,,
2011,LA,Louisiana,Obesity,Health Insurance Coverage,Work Place,Obesity Study,Enacted,HCR55,1,1/1/2011 0:00,
2011,TX,Texas,Nutrition,Farm Direct Foods,Community,Midlothian Municipal Management District No. 2,Enacted,H3852,1,1/1/2011 0:00,
2010,NY,New York,Obesity,Access to Drinking Water,Community,Bicycle Tourism Kiosks,Dead,A10325,3,,
2011,IL,Illinois,Obesity,Appropriations,Community,Tax Increment Allocation Redevelopment Act,Dead,H1976,3,,
2010,FL,Florida,Nutrition,School Nutrition,Community,Appropriations,Dead,S2700,3,,
2012,MA,Massachusetts,Nutrition,Initiatives and Programs,Work Place,An Act Improving the Quality of Health Care<br>,Dead,S2262,3,1/1/2012 0:00,
2009,MA,Massachusetts,Obesity,Food Restrictions,Community,Farmers Markets,Dead,HD4129,3,,
2009,NY,New York,Obesity,Appropriations,Work Place,Task Force on Occupational Wellness,Dead,S5051,3,,
2011,CO,Colorado,Nutrition,Farm Direct Foods,School/After School,San Luis Valley Farm to School Pilot,Dead,H1062,3,,
2011,TX,Texas,Physical Activity,Physical Education Requirements,Community,Sweetened Beverages Tax,Dead,H2209,3,,
2009,MA,Massachusetts,Physical Activity,Public Safety,Community,Gang Injunctions,Dead,H1582,3,,
2011,TX,Texas,Physical Activity,Built Environment and Street-Scale Design,Community,Levy Assessment and Bond Issuance,Enacted,H3819,1,1/1/2011 0:00,
2011,IA,Iowa,Nutrition,Access to Healthy Foods,Community,Local Foods,Dead,SSB1179,3,,
2009,NY,New York,Nutrition,Incentives,School/After School,Office Of Nutrition And Fitness,Dead,A3095,3,,
2009,CT,Connecticut,Physical Activity,Appropriations,School/After School,Funding of School Construction Projects,Dead,H6556,3,,
2006,NY,New York,Nutrition,Appropriations,Community,An Act to Amend Laws,Enacted,S8470,1,1/1/2006 0:00,
2010,MN,Minnesota,Nutrition,Farm Direct Foods,School/After School,Education Finance,Dead,H2793,3,,
2011,MN,Minnesota,Nutrition,Medical Care,Community,Transportation,Dead,H1068,3,,
2010,VA,Virginia,Obesity,Appropriations,Community,Enterprise Zone Grant Program,Enacted,R102382,1,1/1/2010 0:00,
2013,MI,Michigan,Nutrition,Farm Direct Foods,Community,A resolution to declare October 2013 as Harvest Gathering Month in the state of Michigan.,Enacted,HR192,1,10/15/2013 0:00,10/15/2013 0:00
2012,MD,Maryland,Obesity,Food Restrictions,Restaurant/Retail,An Act Concerning Trans Fat Prohibition<br>,Dead,H627,3,1/1/2012 0:00,
2010,WA,Washington,Nutrition,Agriculture and Farming,Community,2010 Operating Supplemental Appropriations,Dead,H2824,3,,
2010,MA,Massachusetts,Nutrition,Task Forces/Councils,Community,Individual and Small Business Health Insurance Quality,Dead,H4924,3,,
2013,ID,Idaho,Nutrition,Food Assistance Programs,Community,Idaho Sales and Use Tax Administrative Rules,Enacted,8789,1,1/1/2013 0:00,
2010,NY,New York,Nutrition,Incentives,Medical and/or Hospital,Advisory Committee on Public Wellness,Dead,S8186,3,,
2011,RI,Rhode Island,Nutrition,Appropriations,Restaurant/Retail,Taxation,Dead,H5432,3,,
2011,WA,Washington,Obesity,Appropriations,Community,State Route Number,Dead,H1917,3,,
2011,MN,Minnesota,Physical Activity,Appropriations,Community,Capital Investment,Dead,S818,3,,
2010,MO,Missouri,Nutrition,Farm Direct Foods,Community,Urban Farming Task Force,Enacted,H1848,1,1/1/2010 0:00,
2010,NY,New York,Obesity,Food Restrictions,School/After School,Department of Education,Dead,S7027,3,,
2009,MA,Massachusetts,Obesity,Appropriations,School/After School,Physical Education Requirements in Schools,Dead,HD2767,3,,
2007,NY,New York,Nutrition,Farm Direct Foods,Community,"Education, Labor, and Family Assistance Budget",Enacted,S2103,1,1/1/2007 0:00,
2010,MI,Michigan,Nutrition,Farmers Markets,Community,Cottage Food Operation,Dead,S1403,3,,
2009,MA,Massachusetts,Physical Activity,Appropriations,Restaurant/Retail,Wellness Trust,Dead,H2701,3,,
2011,NM,New Mexico,Obesity,Liability and Indemnity,Work Place,Employee Wellness Incentive Programs,Enacted,HM78,1,1/1/2011 0:00,
2009,VT,Vermont,Nutrition,Appropriations,Community,Farm Viability Enhancement Advisory Board,Dead,H258,3,,
2011,HI,Hawaii,Nutrition,Fruits and Vegetables,Medical and/or Hospital,Wellness,Dead,S1106,3,,
2010,LA,Louisiana,Nutrition,Appropriations,Community,Health and Accident Insurance,Enacted,H821,1,1/1/2010 0:00,
2005,IL,Illinois,Obesity,Appropriations,Community,Food Systems Policy Council,Enacted,H211,1,1/1/2005 0:00,
2012,MS,Mississippi,Physical Activity,Initiatives and Programs,School/After School,An Act to Require that Student Wellness Shall Be Part of School Curriculum<br>,Dead,H345,3,1/1/2012 0:00,
2011,CA,California,Obesity,Food Restrictions,Work Place,Public Contracts: Healthy and Sustainable Food,Dead,A727,3,,
2012,OK,Oklahoma,Nutrition,Farm Direct Foods,Community,An Act Relating to Revenue and Taxation<br>,Dead,H2488,3,1/1/2012 0:00,
2009,TX,Texas,Physical Activity,Physical Education Requirements,School/After School,Physical Education Curriculum,Dead,H3741,3,,
2004,MI,Michigan,Physical Activity,Public Safety,Community,Establish crosswalks for pedestrians,Enacted,HB5094,1,1/1/2004 0:00,
2011,IL,Illinois,Obesity,Appropriations,Community,Traffic Signal Malfunction,Enacted,H2860,1,1/1/2011 0:00,
2011,FL,Florida,Physical Activity,Public Transportation,Community,Growth Management,Dead,H7129,3,,
2011,NM,New Mexico,Physical Activity,Pedestrians/Walking,Community,Arroyos Trash Buildup Study,Enacted,SM48,1,1/1/2011 0:00,
2010,OR,Oregon,Obesity,Appropriations,Community,Adult Foster Homes for Individuals,Enacted,R31713,1,1/1/2010 0:00,
2011,HI,Hawaii,Nutrition,Farm Direct Foods,Restaurant/Retail,"Kalo, Taro Farms, School Meals",Dead,HCR177,3,,
2009,OR,Oregon,Physical Activity,Bicycling,Community,Convictions Used in Driver Improvement,Enacted,R31091,1,1/1/2009 0:00,
2011,RI,Rhode Island,Physical Activity,Public Transportation,Community,Highways,Dead,S952,3,,
2009,RI,Rhode Island,Nutrition,Nutrition Standards,Early Care and Education,Residential Child Care Regulations for Licensure,Enacted,R3983,1,1/1/2009 0:00,
2012,OK,Oklahoma,Nutrition,Farmers Markets,Community,An Act Relating to Revenue and Taxation<br>,Dead,H2488,3,1/1/2012 0:00,
2009,NY,New York,Nutrition,Fruits and Vegetables,Community,FRESH Communities Act,Dead,A7975,3,,
2010,WA,Washington,Physical Activity,Bicycling,Community,2009-11 Supplemental Transportation Appropriations,Enacted,S6381,1,1/1/2010 0:00,
2012,NY,New York,Nutrition,Agriculture and Farming,Community,An Act to Combat the Incidence of Adult and Childhood Obesity<br>,Dead,A9394,3,1/1/2012 0:00,
2009,NC,North Carolina,Obesity,Appropriations,School/After School,School Nutrition Program Funds,Dead,H387,3,,
2010,RI,Rhode Island,Obesity,Food Restrictions,Community,Special Supplemental Nutrition Program,Enacted,R4080,1,1/1/2010 0:00,
2012,IA,Iowa,Nutrition,Access to Healthy Foods,Community,An Act Providing for Charitable Food Donations,Dead,SSB3095,3,1/1/2012 0:00,
2010,OH,Ohio,Nutrition,Fruits and Vegetables,Restaurant/Retail,Commercial Activity Tax Credit,Dead,S288,3,,
2011,MN,Minnesota,Physical Activity,Appropriations,Community,Capital Investment,Dead,H959,3,,
2009,NY,New York,Physical Activity,Incentives,Community,Exempts Bicycles From Sales and Compensating Use Tax,Dead,S3218,3,,
2012,AL,Alabama,Nutrition,Incentives,Restaurant/Retail,Establishes an Alabama Purchase of Local Agricultural Products Incentive Program Fund<br>,Dead,H37,3,1/1/2012 0:00,
2005,ID,Idaho,Physical Activity,Pedestrians/Walking,Community,Bicycles,Enacted,S1131,1,1/1/2005 0:00,
2013,OR,Oregon,Nutrition,Agriculture and Farming,School/After School,Grants Awarded to Schools for Food Programs,Enacted,HB2649,1,7/25/2013 0:00,7/25/2013 0:00
2009,FL,Florida,Physical Activity,Incentives,Community,Healthy and Fit Florida Act,Dead,S2614,3,,
2009,RI,Rhode Island,Nutrition,School Nutrition,School/After School,Basic Education Program,Enacted,R3823,1,1/1/2009 0:00,
2010,HI,Hawaii,Nutrition,Fruits and Vegetables,School/After School,Agricultural Products,Dead,SR82,3,,
